Block,Treatment,Replicate,Genotype,Individual,Callus,Root
5,IBA_05,1,G2,b25_1,1,2
5,IBA_05,2,G2,b25_1,0,0
5,IBA_05,3,G2,b25_1,1,0
5,IBA_1,1,G2,b25_1,1,0
5,IBA_1,2,G2,b25_1,1,0
5,IBA_1,3,G2,b25_1,1,0
5,NAA_05,1,G2,b25_1,1,0
5,NAA_05,2,G2,b25_1,1,0
5,NAA_05,3,G2,b25_1,1,0
5,NAA_1,1,G2,b25_1,1,0
5,NAA_1,2,G2,b25_1,1,0
5,NAA_1,3,G2,b25_1,1,0
5,Control,1,G2,b25_1,0,0
5,Control,2,G2,b25_1,0,0
5,Control,3,G2,b25_1,0,0
5,IBA_05,1,G1,b9_1,1,6
5,IBA_05,2,G1,b9_1,1,1
5,IBA_05,3,G1,b9_1,1,1
5,IBA_1,1,G1,b9_1,0,0
5,IBA_1,2,G1,b9_1,1,5
5,IBA_1,3,G1,b9_1,1,1
5,NAA_05,1,G1,b9_1,0,0
5,NAA_05,2,G1,b9_1,1,0
5,NAA_05,3,G1,b9_1,1,0
5,NAA_1,1,G1,b9_1,1,0
5,NAA_1,2,G1,b9_1,1,1
5,NAA_1,3,G1,b9_1,1,0
5,Control,1,G1,b9_1,0,0
5,Control,2,G1,b9_1,0,0
5,Control,3,G1,b9_1,0,0
5,IBA_05,1,G1,b1_1,1,4
5,IBA_05,2,G1,b1_1,0,0
5,IBA_05,3,G1,b1_1,1,0
5,IBA_1,1,G1,b1_1,1,0
5,IBA_1,2,G1,b1_1,1,4
5,IBA_1,3,G1,b1_1,0,1
5,NAA_05,1,G1,b1_1,1,0
5,NAA_05,2,G1,b1_1,0,0
5,NAA_05,3,G1,b1_1,1,0
5,NAA_1,1,G1,b1_1,1,0
5,NAA_1,2,G1,b1_1,1,0
5,NAA_1,3,G1,b1_1,1,0
5,Control,1,G1,b1_1,0,0
5,Control,2,G1,b1_1,0,0
5,Control,3,G1,b1_1,0,0
5,IBA_05,1,G1,b1_2,1,1
5,IBA_05,2,G1,b1_2,1,1
5,IBA_05,3,G1,b1_2,1,3
5,IBA_1,1,G1,b1_2,1,1
5,IBA_1,2,G1,b1_2,0,3
5,IBA_1,3,G1,b1_2,1,1
5,NAA_05,1,G1,b1_2,0,0
5,NAA_05,2,G1,b1_2,1,0
5,NAA_05,3,G1,b1_2,0,2
5,NAA_1,1,G1,b1_2,1,0
5,NAA_1,2,G1,b1_2,1,0
5,NAA_1,3,G1,b1_2,1,0
5,Control,1,G1,b1_2,0,0
5,Control,2,G1,b1_2,1,0
5,Control,3,G1,b1_2,0,0
5,IBA_05,1,G2,b5_1,0,0
5,IBA_05,2,G2,b5_1,0,0
5,IBA_05,3,G2,b5_1,0,0
5,IBA_1,1,G2,b5_1,0,0
5,IBA_1,2,G2,b5_1,0,0
5,IBA_1,3,G2,b5_1,0,0
5,NAA_05,1,G2,b5_1,1,1
5,NAA_05,2,G2,b5_1,1,0
5,NAA_05,3,G2,b5_1,1,1
5,NAA_1,1,G2,b5_1,1,0
5,NAA_1,2,G2,b5_1,0,0
5,NAA_1,3,G2,b5_1,0,0
5,Control,1,G2,b5_1,0,0
5,Control,2,G2,b5_1,0,0
5,Control,3,G2,b5_1,0,0
5,IBA_05,1,G1,b25_1,1,0
5,IBA_05,2,G1,b25_1,1,3
5,IBA_05,3,G1,b25_1,1,0
5,IBA_1,1,G1,b25_1,1,6
5,IBA_1,2,G1,b25_1,1,1
5,IBA_1,3,G1,b25_1,1,2
5,NAA_05,1,G1,b25_1,1,0
5,NAA_05,2,G1,b25_1,1,0
5,NAA_05,3,G1,b25_1,0,1
5,NAA_1,1,G1,b25_1,1,6
5,NAA_1,2,G1,b25_1,1,0
5,NAA_1,3,G1,b25_1,1,1
5,Control,1,G1,b25_1,0,0
5,Control,2,G1,b25_1,0,0
5,Control,3,G1,b25_1,0,0
5,IBA_05,1,G1,b20_1,1,5
5,IBA_05,2,G1,b20_1,0,0
5,IBA_05,3,G1,b20_1,1,1
5,IBA_1,1,G1,b20_1,1,0
5,IBA_1,2,G1,b20_1,1,2
5,IBA_1,3,G1,b20_1,1,2
5,NAA_05,1,G1,b20_1,1,0
5,NAA_05,2,G1,b20_1,1,0
5,NAA_05,3,G1,b20_1,1,0
5,NAA_1,1,G1,b20_1,1,1
5,NAA_1,2,G1,b20_1,1,1
5,NAA_1,3,G1,b20_1,1,0
5,Control,1,G1,b20_1,0,0
5,Control,2,G1,b20_1,0,0
5,Control,3,G1,b20_1,0,0
5,IBA_05,1,G1,b2_1,1,5
5,IBA_05,2,G1,b2_1,1,3
5,IBA_05,3,G1,b2_1,0,1
5,IBA_1,1,G1,b2_1,1,1
5,IBA_1,2,G1,b2_1,0,2
5,IBA_1,3,G1,b2_1,1,8
5,NAA_05,1,G1,b2_1,1,1
5,NAA_05,2,G1,b2_1,1,0
5,NAA_05,3,G1,b2_1,0,0
5,NAA_1,1,G1,b2_1,1,4
5,NAA_1,2,G1,b2_1,1,1
5,NAA_1,3,G1,b2_1,0,0
5,Control,1,G1,b2_1,0,0
5,Control,2,G1,b2_1,0,0
5,Control,3,G1,b2_1,0,0
5,IBA_05,1,G1,b18_1,1,1
5,IBA_05,2,G1,b18_1,0,0
5,IBA_05,3,G1,b18_1,1,0
5,IBA_1,1,G1,b18_1,1,1
5,IBA_1,2,G1,b18_1,1,0
5,IBA_1,3,G1,b18_1,1,0
5,NAA_05,1,G1,b18_1,1,0
5,NAA_05,2,G1,b18_1,1,0
5,NAA_05,3,G1,b18_1,1,0
5,NAA_1,1,G1,b18_1,1,3
5,NAA_1,2,G1,b18_1,1,0
5,NAA_1,3,G1,b18_1,1,3
5,Control,1,G1,b18_1,0,0
5,Control,2,G1,b18_1,0,0
5,Control,3,G1,b18_1,0,0
