Block,Treatment,Replicate,Genotype,Individual,Callus,Root
3,IBA_05,1,G1,b26_1,0,0
3,IBA_05,2,G1,b26_1,1,1
3,IBA_05,3,G1,b26_1,1,0
3,IBA_1,1,G1,b26_1,1,0
3,IBA_1,2,G1,b26_1,0,0
3,IBA_1,3,G1,b26_1,1,1
3,NAA_05,1,G1,b26_1,1,0
3,NAA_05,2,G1,b26_1,1,0
3,NAA_05,3,G1,b26_1,1,0
3,NAA_1,1,G1,b26_1,1,0
3,NAA_1,2,G1,b26_1,1,0
3,NAA_1,3,G1,b26_1,1,0
3,Control,1,G1,b26_1,0,0
3,Control,2,G1,b26_1,0,0
3,Control,3,G1,b26_1,0,0
3,IBA_05,1,G2,18_1,0,0
3,IBA_05,2,G2,18_1,1,0
3,IBA_05,3,G2,18_1,0,1
3,IBA_1,1,G2,18_1,1,0
3,IBA_1,2,G2,18_1,0,1
3,IBA_1,3,G2,18_1,1,3
3,NAA_05,1,G2,18_1,0,0
3,NAA_05,2,G2,18_1,1,1
3,NAA_05,3,G2,18_1,0,0
3,NAA_1,1,G2,18_1,1,0
3,NAA_1,2,G2,18_1,0,0
3,NAA_1,3,G2,18_1,0,1
3,Control,1,G2,18_1,0,0
3,Control,2,G2,18_1,0,0
3,Control,3,G2,18_1,0,0
3,IBA_05,1,G1,b5_1,1,0
3,IBA_05,2,G1,b5_1,1,5
3,IBA_05,3,G1,b5_1,1,0
3,IBA_1,1,G1,b5_1,1,1
3,IBA_1,2,G1,b5_1,1,0
3,IBA_1,3,G1,b5_1,1,1
3,NAA_05,1,G1,b5_1,1,1
3,NAA_05,2,G1,b5_1,1,0
3,NAA_05,3,G1,b5_1,1,0
3,NAA_1,1,G1,b5_1,1,0
3,NAA_1,2,G1,b5_1,1,0
3,NAA_1,3,G1,b5_1,1,1
3,Control,1,G1,b5_1,0,0
3,Control,2,G1,b5_1,0,0
3,Control,3,G1,b5_1,0,0
3,IBA_05,1,G1,b15_1,0,0
3,IBA_05,2,G1,b15_1,1,0
3,IBA_05,3,G1,b15_1,0,0
3,IBA_1,1,G1,b15_1,0,0
3,IBA_1,2,G1,b15_1,0,0
3,IBA_1,3,G1,b15_1,0,0
3,NAA_05,1,G1,b15_1,0,0
3,NAA_05,2,G1,b15_1,0,0
3,NAA_05,3,G1,b15_1,1,0
3,NAA_1,1,G1,b15_1,1,1
3,NAA_1,2,G1,b15_1,1,0
3,NAA_1,3,G1,b15_1,0,0
3,Control,1,G1,b15_1,0,0
3,Control,2,G1,b15_1,0,0
3,Control,3,G1,b15_1,0,0
3,IBA_05,1,G1,b3_1,1,2
3,IBA_05,2,G1,b3_1,1,6
3,IBA_05,3,G1,b3_1,1,2
3,IBA_1,1,G1,b3_1,1,1
3,IBA_1,2,G1,b3_1,1,6
3,IBA_1,3,G1,b3_1,1,9
3,NAA_05,1,G1,b3_1,1,9
3,NAA_05,2,G1,b3_1,1,1
3,NAA_05,3,G1,b3_1,1,1
3,NAA_1,1,G1,b3_1,1,0
3,NAA_1,2,G1,b3_1,0,0
3,NAA_1,3,G1,b3_1,1,3
3,Control,1,G1,b3_1,0,0
3,Control,2,G1,b3_1,0,1
3,Control,3,G1,b3_1,0,3
3,IBA_05,1,G1,b13_1,1,7
3,IBA_05,2,G1,b13_1,1,5
3,IBA_05,3,G1,b13_1,0,2
3,IBA_1,1,G1,b13_1,1,9
3,IBA_1,2,G1,b13_1,1,2
3,IBA_1,3,G1,b13_1,1,4
3,NAA_05,1,G1,b13_1,1,5
3,NAA_05,2,G1,b13_1,1,1
3,NAA_05,3,G1,b13_1,1,1
3,NAA_1,1,G1,b13_1,1,3
3,NAA_1,2,G1,b13_1,1,4
3,NAA_1,3,G1,b13_1,1,0
3,Control,1,G1,b13_1,1,0
3,Control,2,G1,b13_1,0,3
3,Control,3,G1,b13_1,0,0
3,IBA_05,1,G1,b12_1,0,0
3,IBA_05,2,G1,b12_1,1,0
3,IBA_05,3,G1,b12_1,0,0
3,IBA_1,1,G1,b12_1,0,0
3,IBA_1,2,G1,b12_1,0,0
3,IBA_1,3,G1,b12_1,1,0
3,NAA_05,1,G1,b12_1,0,0
3,NAA_05,2,G1,b12_1,0,0
3,NAA_05,3,G1,b12_1,0,0
3,NAA_1,1,G1,b12_1,0,0
3,NAA_1,2,G1,b12_1,1,0
3,NAA_1,3,G1,b12_1,0,0
3,Control,1,G1,b12_1,0,0
3,Control,2,G1,b12_1,0,0
3,Control,3,G1,b12_1,0,0
3,IBA_05,1,G1,b10_1,1,4
3,IBA_05,2,G1,b10_1,0,3
