Block,Treatment,Replicate,Genotype,Individual,Callus,Root
4,IBA_05,1,G2,b17_1,0,0
4,IBA_05,2,G2,b17_1,0,0
4,IBA_05,3,G2,b17_1,0,0
4,IBA_1,1,G2,b17_1,1,0
4,IBA_1,2,G2,b17_1,0,0
4,IBA_1,3,G2,b17_1,0,1
4,NAA_05,1,G2,b17_1,1,2
4,NAA_05,2,G2,b17_1,1,1
4,NAA_05,3,G2,b17_1,1,1
4,NAA_1,1,G2,b17_1,1,0
4,NAA_1,2,G2,b17_1,1,2
4,NAA_1,3,G2,b17_1,1,0
4,Control,1,G2,b17_1,0,0
4,Control,2,G2,b17_1,0,0
4,Control,3,G2,b17_1,0,0
4,IBA_05,1,G2,b28_1,0,0
4,IBA_05,2,G2,b28_1,1,0
4,IBA_05,3,G2,b28_1,1,0
4,IBA_1,1,G2,b28_1,1,7
4,IBA_1,2,G2,b28_1,1,1
4,IBA_1,3,G2,b28_1,0,0
4,NAA_05,1,G2,b28_1,1,0
4,NAA_05,2,G2,b28_1,1,0
4,NAA_05,3,G2,b28_1,1,0
4,NAA_1,1,G2,b28_1,1,0
4,NAA_1,2,G2,b28_1,1,0
4,NAA_1,3,G2,b28_1,1,0
4,Control,1,G2,b28_1,0,0
4,Control,2,G2,b28_1,0,0
4,Control,3,G2,b28_1,0,0
4,IBA_05,1,G2,b19_1,1,0
4,IBA_05,2,G2,b19_1,1,0
4,IBA_05,3,G2,b19_1,1,0
4,IBA_1,1,G2,b19_1,1,0
4,IBA_1,2,G2,b19_1,1,0
4,IBA_1,3,G2,b19_1,1,0
4,NAA_05,1,G2,b19_1,1,0
4,NAA_05,2,G2,b19_1,1,0
4,NAA_05,3,G2,b19_1,1,0
4,NAA_1,1,G2,b19_1,1,0
4,NAA_1,2,G2,b19_1,1,0
4,NAA_1,3,G2,b19_1,1,1
4,Control,1,G2,b19_1,0,0
4,Control,2,G2,b19_1,0,0
4,Control,3,G2,b19_1,0,0
4,IBA_05,1,G2,b27_2,1,3
4,IBA_05,2,G2,b27_2,0,0
4,IBA_05,3,G2,b27_2,0,0
4,IBA_1,1,G2,b27_2,1,7
4,IBA_1,2,G2,b27_2,1,8
4,IBA_1,3,G2,b27_2,1,2
4,NAA_05,1,G2,b27_2,1,0
4,NAA_05,2,G2,b27_2,0,0
4,NAA_05,3,G2,b27_2,0,0
4,NAA_1,1,G2,b27_2,1,2
4,NAA_1,2,G2,b27_2,1,0
4,NAA_1,3,G2,b27_2,1,1
4,Control,1,G2,b27_2,0,0
4,Control,2,G2,b27_2,0,0
4,Control,3,G2,b27_2,0,0
4,IBA_05,1,G1,22_1,1,0
4,IBA_05,2,G1,22_1,1,0
4,IBA_05,3,G1,22_1,1,0
4,IBA_1,1,G1,22_1,1,0
4,IBA_1,2,G1,22_1,1,0
4,IBA_1,3,G1,22_1,1,0
4,NAA_05,1,G1,22_1,1,0
4,NAA_05,2,G1,22_1,1,0
4,NAA_05,3,G1,22_1,0,0
4,NAA_1,1,G1,22_1,1,0
4,NAA_1,2,G1,22_1,1,0
4,NAA_1,3,G1,22_1,1,0
4,Control,1,G1,22_1,0,0
4,Control,2,G1,22_1,0,0
4,Control,3,G1,22_1,0,0
4,IBA_05,1,G2,b16_1,1,0
4,IBA_05,2,G2,b16_1,0,0
4,IBA_05,3,G2,b16_1,1,2
4,IBA_1,1,G2,b16_1,1,0
4,IBA_1,2,G2,b16_1,1,1
4,IBA_1,3,G2,b16_1,1,3
4,NAA_05,1,G2,b16_1,0,0
4,NAA_05,2,G2,b16_1,1,2
4,NAA_05,3,G2,b16_1,0,0
4,NAA_1,1,G2,b16_1,1,0
4,NAA_1,2,G2,b16_1,0,0
4,NAA_1,3,G2,b16_1,1,1
4,Control,1,G2,b16_1,0,0
4,Control,2,G2,b16_1,0,0
4,Control,3,G2,b16_1,0,0
4,IBA_05,1,G2,b11_1,0,0
4,IBA_05,2,G2,b11_1,1,2
4,IBA_05,3,G2,b11_1,1,3
4,IBA_1,1,G2,b11_1,1,4
4,IBA_1,2,G2,b11_1,1,3
4,IBA_1,3,G2,b11_1,1,4
4,NAA_05,1,G2,b11_1,1,0
4,NAA_05,2,G2,b11_1,0,0
4,NAA_05,3,G2,b11_1,1,0
4,NAA_1,1,G2,b11_1,1,1
4,NAA_1,2,G2,b11_1,1,5
4,NAA_1,3,G2,b11_1,1,1
4,Control,1,G2,b11_1,0,0
4,Control,2,G2,b11_1,0,0
4,Control,3,G2,b11_1,0,0
4,IBA_05,1,G2,29_1,1,0
4,IBA_05,2,G2,29_1,1,1
4,IBA_05,3,G2,29_1,1,0
4,IBA_1,1,G2,29_1,1,2
4,IBA_1,2,G2,29_1,1,2
4,IBA_1,3,G2,29_1,1,3
4,NAA_05,1,G2,29_1,1,3
4,NAA_05,2,G2,29_1,1,0
4,NAA_05,3,G2,29_1,1,0
4,NAA_1,1,G2,29_1,1,0
4,NAA_1,2,G2,29_1,1,3
4,NAA_1,3,G2,29_1,1,0
4,Control,1,G2,29_1,0,0
4,Control,2,G2,29_1,0,0
4,Control,3,G2,29_1,0,0
4,IBA_05,1,G2,b24_1,1,3
4,IBA_05,2,G2,b24_1,1,6
4,IBA_05,3,G2,b24_1,1,3
4,IBA_1,1,G2,b24_1,1,6
4,IBA_1,2,G2,b24_1,1,11
4,IBA_1,3,G2,b24_1,1,6
4,NAA_05,1,G2,b24_1,1,0
4,NAA_05,2,G2,b24_1,1,1
4,NAA_05,3,G2,b24_1,1,0
4,NAA_1,1,G2,b24_1,1,0
4,NAA_1,2,G2,b24_1,1,2
4,NAA_1,3,G2,b24_1,1,4
4,Control,1,G2,b24_1,0,0
4,Control,2,G2,b24_1,0,1
4,Control,3,G2,b24_1,0,1
